Ref_num,No,Author,Beam Name,unit,shape,h,dp,ds,d,bw,btop,bbot,ttop,tbot,bslab,tslab,yb,egc,Ag,Ig,Ic,L,aa,ba,a_d,M_Vd,Loading,control,fctest,fpc,f1c,fcslab,test,fcttest,f1t,agg,Aps,fpy,fpu,rhopl,d_Angle,fse,As,fy,rhol,Av,fvy,sv,rhov,rhovfvy,Vtest,Mn,Mf,Mf_Mn,Failure
11,R0011_018,Hanson (1958),8A,U,R,12,0,10.5,10.5,6,0,0,0,0,0,0,6,0,72,864,864,78,3,6,2.48,1.48,SS-2PL,,,4020,,0,,262,,0,0,0,0,0,0,0,1.58,48.3,2.5,0,0,0,0,0,12.98,56,28.1,0.5,S
11,R0011_019,Hanson (1958),8B,U,R,12,0,10.5,10.5,6,0,0,0,0,0,0,6,0,72,864,864,78,3,6,2.48,1.48,SS-2PL,,,5380,,0,,319,,0,0,0,0,0,0,0,1.58,48.3,2.5,0,0,0,0,0,20.32,59.3,44,0.7,S
11,R0011_020,Hanson (1958),8C,U,R,12,0,10.5,10.5,6,0,0,0,0,0,0,6,0,72,864,864,78,3,6,2.48,1.48,SS-2PL,,,8410,,0,,445,,0,0,0,0,0,0,0,3.16,48.3,5,0,0,0,0,0,28.62,111.7,62,0.6,S
11,R0011_021,Hanson (1958),8D,U,R,12,0,10.5,10.5,6,0,0,0,0,0,0,6,0,72,864,864,78,3,6,2.48,1.48,SS-2PL,,,10680,,0,,482,,0,0,0,0,0,0,0,3.16,48.3,5,0,0,0,0,0,37.2,117.3,80.6,0.7,S
42,R0042_001,"Elzanaty, Nilson, Slate (1986)",F7,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,3000,,0,,216,,0.5,0,0,0,0,0,0,0.45,63,0.6,0,0,0,0,0,7.5,25.7,26.9,1,S
42,R0042_002,"Elzanaty, Nilson, Slate (1986)",F11,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,3000,,0,,216,,0.5,0,0,0,0,0,0,0.9,63,1.2,0,0,0,0,0,9.8,45.1,35.1,0.8,S
42,R0042_003,"Elzanaty, Nilson, Slate (1986)",F12,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,3000,,0,,216,,0.5,0,0,0,0,0,0,1.88,63,2.5,0,0,0,0,0,12,74.1,43,0.6,S
42,R0042_004,"Elzanaty, Nilson, Slate (1986)",F8,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,5800,,0,,335,,0.5,0,0,0,0,0,0,0.75,63,1,0,0,0,0,0,10.1,42.5,36.2,0.9,S
42,R0042_005,"Elzanaty, Nilson, Slate (1986)",F13,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,5800,,0,,335,,0.5,0,0,0,0,0,0,0.9,63,1.2,0,0,0,0,0,10.7,49.7,38.3,0.8,S
42,R0042_006,"Elzanaty, Nilson, Slate (1986)",F14,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,5800,,0,,335,,0.5,0,0,0,0,0,0,1.88,63,2.5,0,0,0,0,0,14.3,90.5,51.2,0.6,S
42,R0042_007,"Elzanaty, Nilson, Slate (1986)",F1,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,9500,,0,,463,,0.5,0,0,0,0,0,0,0.9,63,1.2,0,0,0,0,0,12.9,52.8,46.2,0.9,S
42,R0042_008,"Elzanaty, Nilson, Slate (1986)",F2,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,9500,,0,,463,,0.5,0,0,0,0,0,0,1.88,63,2.5,0,0,0,0,0,14.8,98.6,53,0.5,S
42,R0042_009,"Elzanaty, Nilson, Slate (1986)",F10,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,9500,,0,,463,,0.5,0,0,0,0,0,0,2.48,63,3.3,0,0,0,0,0,16.8,124.2,60.2,0.5,S
42,R0042_010,"Elzanaty, Nilson, Slate (1986)",F9,U,R,12,0,10.75,10.75,7,0,0,0,0,0,0,6,0,84,1008,1008,150,0,0,4,3,SS-2PL,,,11500,,0,,494,,0.5,0,0,0,0,0,0,1.2,63,1.6,0,0,0,0,0,14,69.3,50.2,0.7,S
